epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,23720.9,0.89719,0.48273,0.09759,0.59591,0.93457,0.95098,0.91061,0.94469,0.73339,0.89747,0.86808,0.87938,0.87247,0.83267,0.72008,0.00344,0.4785,0.89629,0.005149,0.005149,0.005149
51,24066.3,0.87613,0.40468,0.09205,0.58046,0.92775,0.9416,0.91673,0.94198,0.73713,0.89492,0.87035,0.88029,0.87284,0.81588,0.70299,0.00386,0.4729,0.89636,0.00505,0.00505,0.00505
52,24411.2,0.87374,0.38033,0.0915,0.57655,0.9223,0.94481,0.92009,0.94793,0.74062,0.89575,0.87207,0.88155,0.87745,0.81939,0.70979,0.00367,0.46735,0.89335,0.004951,0.004951,0.004951
53,24755.5,0.86443,0.42754,0.08868,0.57637,0.92435,0.95095,0.92051,0.94868,0.74425,0.90384,0.87207,0.8839,0.87913,0.81118,0.6996,0.00318,0.45721,0.88661,0.004852,0.004852,0.004852
54,25101.7,0.86386,0.37001,0.08107,0.56745,0.92136,0.9499,0.91859,0.94824,0.74261,0.90011,0.87737,0.88791,0.88248,0.82277,0.65045,0.00278,0.46213,0.89099,0.004753,0.004753,0.004753
55,25447.3,0.85604,0.39277,0.08268,0.56138,0.92286,0.9557,0.91456,0.94762,0.74746,0.91465,0.86223,0.88592,0.87923,0.80604,0.6788,0.00297,0.45654,0.89003,0.004654,0.004654,0.004654
56,25791.8,0.85763,0.38061,0.08484,0.56194,0.92658,0.95852,0.91824,0.95075,0.74772,0.91352,0.87737,0.89773,0.89343,0.80075,0.62764,0.00299,0.4488,0.8866,0.004555,0.004555,0.004555
57,26135.9,0.83908,0.35792,0.08779,0.55279,0.91642,0.94765,0.91809,0.9451,0.74753,0.90071,0.88266,0.88965,0.88431,0.80608,0.63467,0.00307,0.45033,0.88386,0.004456,0.004456,0.004456
58,26481,0.83675,0.37483,0.08592,0.54467,0.91216,0.95137,0.91219,0.95093,0.75037,0.90693,0.87048,0.88853,0.88493,0.79816,0.64995,0.00393,0.4435,0.88097,0.004357,0.004357,0.004357
59,26826.9,0.83509,0.33111,0.08343,0.54303,0.91381,0.94271,0.92506,0.94779,0.7489,0.89873,0.88191,0.88939,0.88363,0.78869,0.62365,0.00434,0.44038,0.87791,0.004258,0.004258,0.004258
60,27172.1,0.81571,0.29015,0.08216,0.53793,0.90327,0.94911,0.92733,0.95166,0.7543,0.90481,0.88505,0.89407,0.8903,0.78617,0.61406,0.00368,0.43173,0.87782,0.004159,0.004159,0.004159
61,27516.3,0.8106,0.32126,0.08079,0.52768,0.91003,0.95068,0.92127,0.95115,0.75905,0.90783,0.88266,0.89723,0.89488,0.77622,0.60604,0.0031,0.42748,0.87679,0.00406,0.00406,0.00406
62,27861.5,0.80383,0.31854,0.07729,0.51982,0.90408,0.95672,0.92045,0.95252,0.76142,0.91019,0.88227,0.89652,0.89194,0.77433,0.62133,0.00301,0.42358,0.87662,0.003961,0.003961,0.003961
63,28207.5,0.79496,0.29737,0.07212,0.51305,0.90534,0.96496,0.919,0.95387,0.76531,0.91935,0.87661,0.89963,0.89616,0.78033,0.6119,0.00283,0.42319,0.87347,0.003862,0.003862,0.003862
64,28552.4,0.79898,0.31594,0.07862,0.518,0.90356,0.94914,0.91832,0.9512,0.76785,0.91598,0.87477,0.89835,0.89457,0.78668,0.61329,0.00278,0.42055,0.87585,0.003763,0.003763,0.003763
65,28896.7,0.79567,0.29708,0.07275,0.50779,0.89969,0.95525,0.92107,0.95356,0.76333,0.91115,0.88191,0.89759,0.89407,0.77643,0.61852,0.00296,0.41889,0.87189,0.003664,0.003664,0.003664
66,29241.9,0.77725,0.27797,0.07682,0.50413,0.89556,0.94962,0.92127,0.9509,0.76398,0.90584,0.88116,0.89736,0.89472,0.76723,0.62172,0.00349,0.41795,0.87033,0.003565,0.003565,0.003565
67,29587.3,0.78097,0.26907,0.07862,0.50543,0.89921,0.95885,0.91725,0.95284,0.76605,0.91364,0.88645,0.90032,0.89776,0.76432,0.5739,0.00292,0.41278,0.87097,0.003466,0.003466,0.003466
68,29932.6,0.76419,0.29405,0.07143,0.49765,0.89116,0.96431,0.92052,0.95423,0.76762,0.9236,0.88494,0.90593,0.90067,0.76499,0.56902,0.00313,0.41069,0.87119,0.003367,0.003367,0.003367
69,30276.7,0.7621,0.26393,0.06842,0.49122,0.8912,0.96509,0.92092,0.9533,0.76585,0.91878,0.88208,0.89687,0.89253,0.76303,0.58322,0.00327,0.4063,0.86887,0.003268,0.003268,0.003268
70,30630.2,0.75942,0.25091,0.06782,0.4883,0.89091,0.96575,0.92279,0.95351,0.76965,0.92102,0.88275,0.89801,0.89438,0.75656,0.58488,0.00287,0.40696,0.86518,0.003169,0.003169,0.003169
71,30989.6,0.75441,0.25002,0.06942,0.49043,0.88994,0.96057,0.92216,0.95299,0.76837,0.91798,0.88342,0.89706,0.89391,0.74936,0.5784,0.00332,0.40384,0.86245,0.00307,0.00307,0.00307
72,31349.5,0.74005,0.22169,0.06707,0.47693,0.88575,0.95762,0.92363,0.95245,0.77136,0.91875,0.88569,0.89772,0.89398,0.74605,0.55897,0.0038,0.40253,0.86372,0.002971,0.002971,0.002971
73,31711.4,0.73785,0.23728,0.06987,0.47168,0.8902,0.96373,0.92516,0.95425,0.77227,0.91912,0.88721,0.89972,0.89563,0.74426,0.57612,0.00294,0.39897,0.86324,0.002872,0.002872,0.002872
74,32072.1,0.73486,0.22819,0.0664,0.47065,0.88915,0.95922,0.92583,0.95468,0.77956,0.92006,0.88866,0.90423,0.89889,0.73902,0.56207,0.00303,0.39657,0.86254,0.002773,0.002773,0.002773
75,32429.7,0.72488,0.23006,0.06292,0.46377,0.88624,0.95293,0.92733,0.95398,0.7774,0.92165,0.88494,0.90369,0.89951,0.74105,0.56877,0.00217,0.39502,0.86411,0.002674,0.002674,0.002674
76,32787,0.72832,0.24985,0.06408,0.45762,0.88306,0.96355,0.92279,0.95531,0.77654,0.92429,0.88717,0.90347,0.89939,0.73599,0.55634,0.00246,0.39191,0.86137,0.002575,0.002575,0.002575
77,33137,0.71779,0.23466,0.06424,0.4584,0.88152,0.96222,0.92553,0.95638,0.78084,0.91805,0.89047,0.90339,0.90009,0.73366,0.56071,0.00227,0.3878,0.86124,0.002476,0.002476,0.002476
78,33482.1,0.71734,0.22268,0.06046,0.46475,0.88054,0.96754,0.92525,0.95625,0.77939,0.92874,0.888,0.90327,0.89959,0.7348,0.5527,0.00214,0.38903,0.8607,0.002377,0.002377,0.002377
79,33829,0.70315,0.21574,0.06184,0.45305,0.87719,0.96833,0.92577,0.956,0.78096,0.92581,0.888,0.89967,0.89772,0.73018,0.56654,0.0021,0.38548,0.85962,0.002278,0.002278,0.002278
80,34174.9,0.7068,0.20853,0.05991,0.44844,0.87904,0.96573,0.92657,0.95559,0.78255,0.92325,0.88645,0.90013,0.89613,0.72608,0.57012,0.00231,0.38597,0.85864,0.002179,0.002179,0.002179
81,34521.2,0.70432,0.2245,0.06374,0.44361,0.87588,0.96239,0.92657,0.95668,0.78507,0.92141,0.88796,0.90394,0.89995,0.72515,0.56236,0.00226,0.38057,0.85718,0.00208,0.00208,0.00208
82,34868.3,0.69424,0.21032,0.05724,0.43723,0.8746,0.96603,0.92557,0.95842,0.78922,0.92401,0.88721,0.91029,0.90321,0.72013,0.53458,0.00195,0.37751,0.85577,0.001981,0.001981,0.001981
83,35214.7,0.69141,0.21189,0.05709,0.43155,0.87572,0.96827,0.92389,0.95717,0.7857,0.92758,0.89203,0.91495,0.90898,0.7204,0.52387,0.00186,0.37889,0.85564,0.001882,0.001882,0.001882
84,35560.9,0.6828,0.21388,0.06123,0.43036,0.87342,0.9667,0.9243,0.95708,0.78847,0.92135,0.89571,0.91676,0.91079,0.71591,0.51819,0.00185,0.37845,0.85446,0.001783,0.001783,0.001783
85,35907,0.67488,0.19705,0.05902,0.42563,0.87195,0.963,0.92594,0.95699,0.78689,0.91447,0.90008,0.91407,0.91005,0.71111,0.53074,0.00205,0.37664,0.85326,0.001684,0.001684,0.001684
86,36253.7,0.66752,0.2049,0.0529,0.42,0.87119,0.96081,0.92657,0.9574,0.78866,0.92145,0.89693,0.91567,0.9109,0.70765,0.53887,0.0023,0.37608,0.85304,0.001585,0.001585,0.001585
